datetime,symbol,open,high,low,close,volume
2014-08-10 18:00:00,TVC:USOIL,97.54,98.55,97.4,97.81,0.0
2014-08-11 18:00:00,TVC:USOIL,97.8,97.91,96.86,97.13,0.0
2014-08-12 18:00:00,TVC:USOIL,97.2,97.75,96.78,97.3,0.0
2014-08-13 18:00:00,TVC:USOIL,97.25,97.56,95.29,95.45,0.0
2014-08-14 18:00:00,TVC:USOIL,95.45,97.39,95.35,97.05,0.0
2014-08-17 18:00:00,TVC:USOIL,97.05,97.14,95.84,96.5,0.0
2014-08-18 18:00:00,TVC:USOIL,96.55,97.02,94.29,94.56,0.0
2014-08-19 18:00:00,TVC:USOIL,92.8,93.54,92.76,93.45,0.0
2014-08-20 18:00:00,TVC:USOIL,93.45,94.42,92.6,93.85,0.0
2014-08-21 18:00:00,TVC:USOIL,93.86,94.03,92.96,93.4,0.0
2014-08-24 18:00:00,TVC:USOIL,93.4,93.93,93.06,93.28,0.0
2014-08-25 18:00:00,TVC:USOIL,93.34,94.31,93.34,93.8,0.0
2014-08-26 18:00:00,TVC:USOIL,93.84,94.21,93.39,93.68,0.0
2014-08-27 18:00:00,TVC:USOIL,93.72,94.69,93.49,94.55,0.0
2014-08-28 18:00:00,TVC:USOIL,94.53,95.98,94.5,95.84,0.0
2014-08-31 18:00:00,TVC:USOIL,95.74,95.86,92.71,93.23,0.0
2014-09-02 18:00:00,TVC:USOIL,93.24,95.8,93.09,95.05,0.0
2014-09-03 18:00:00,TVC:USOIL,95.06,95.36,94.19,94.55,0.0
2014-09-04 18:00:00,TVC:USOIL,94.53,94.97,92.89,93.5,0.0
2014-09-07 19:00:00,TVC:USOIL,93.5,93.59,91.83,93.08,0.0
2014-09-08 19:00:00,TVC:USOIL,93.08,93.92,92.55,92.71,0.0
2014-09-09 19:00:00,TVC:USOIL,92.75,93.0,91.24,91.64,0.0
2014-09-10 19:00:00,TVC:USOIL,91.69,93.41,90.46,93.03,0.0
2014-09-11 19:00:00,TVC:USOIL,93.01,93.64,91.99,92.21,0.0
2014-09-14 19:00:00,TVC:USOIL,92.21,93.0,90.76,92.77,0.0
2014-09-15 19:00:00,TVC:USOIL,92.78,95.17,92.49,94.68,0.0
2014-09-16 19:00:00,TVC:USOIL,94.67,95.03,93.76,93.96,0.0
2014-09-17 19:00:00,TVC:USOIL,93.95,94.79,92.91,92.95,0.0
2014-09-18 19:00:00,TVC:USOIL,92.95,92.99,91.18,91.7,0.0
2014-09-21 19:00:00,TVC:USOIL,91.7,91.89,90.43,90.64,0.0
2014-09-22 19:00:00,TVC:USOIL,90.79,92.06,90.7,91.68,0.0
2014-09-23 19:00:00,TVC:USOIL,91.66,93.26,91.15,92.85,0.0
2014-09-24 19:00:00,TVC:USOIL,92.9,93.51,92.08,92.44,0.0
2014-09-25 19:00:00,TVC:USOIL,92.42,93.84,92.26,93.39,0.0
2014-09-28 19:00:00,TVC:USOIL,93.39,94.61,92.77,94.31,0.0
2014-09-29 19:00:00,TVC:USOIL,94.29,94.89,90.89,91.29,0.0
2014-09-30 19:00:00,TVC:USOIL,91.34,92.94,90.51,90.67,0.0
2014-10-01 19:00:00,TVC:USOIL,90.7,91.54,88.21,91.36,0.0
2014-10-02 19:00:00,TVC:USOIL,91.35,91.76,89.39,89.7,0.0
2014-10-05 19:00:00,TVC:USOIL,89.7,90.71,88.81,90.43,0.0
2014-10-06 19:00:00,TVC:USOIL,90.43,90.54,88.39,88.39,0.0
2014-10-07 19:00:00,TVC:USOIL,88.42,88.61,86.86,87.66,0.0
2014-10-08 19:00:00,TVC:USOIL,87.7,87.91,84.14,84.3,0.0
2014-10-09 19:00:00,TVC:USOIL,84.35,86.26,83.63,85.51,0.0
2014-10-12 19:00:00,TVC:USOIL,85.51,85.84,84.11,84.93,0.0
2014-10-13 19:00:00,TVC:USOIL,84.94,85.58,81.35,82.25,0.0
2014-10-14 19:00:00,TVC:USOIL,82.32,82.41,80.05,81.03,0.0
2014-10-15 19:00:00,TVC:USOIL,80.98,84.79,79.81,83.03,0.0
2014-10-16 19:00:00,TVC:USOIL,83.14,84.41,82.48,82.9,0.0
2014-10-19 19:00:00,TVC:USOIL,82.9,83.15,80.81,81.8,0.0
2014-10-20 19:00:00,TVC:USOIL,81.83,83.24,81.61,82.51,0.0
2014-10-21 19:00:00,TVC:USOIL,82.54,83.11,80.26,80.34,0.0
2014-10-22 19:00:00,TVC:USOIL,80.34,82.34,80.08,81.83,0.0
2014-10-23 19:00:00,TVC:USOIL,81.92,81.92,80.39,81.24,0.0
2014-10-26 19:00:00,TVC:USOIL,81.24,81.24,79.48,80.6,0.0
2014-10-27 19:00:00,TVC:USOIL,80.61,81.64,80.39,81.55,0.0
2014-10-28 19:00:00,TVC:USOIL,81.58,82.85,81.46,81.93,0.0
2014-10-29 19:00:00,TVC:USOIL,81.92,82.06,80.75,80.94,0.0
2014-10-30 19:00:00,TVC:USOIL,81.0,81.24,79.56,80.65,0.0
2014-11-02 20:00:00,TVC:USOIL,80.65,80.96,78.11,78.23,0.0
2014-11-03 20:00:00,TVC:USOIL,78.23,78.38,75.94,77.43,0.0
2014-11-04 20:00:00,TVC:USOIL,77.42,79.32,76.49,78.9,0.0
2014-11-05 20:00:00,TVC:USOIL,78.87,79.0,77.15,77.85,0.0
2014-11-06 20:00:00,TVC:USOIL,77.84,79.38,77.49,78.54,0.0
2014-11-09 20:00:00,TVC:USOIL,78.53,79.82,77.16,77.18,0.0
2014-11-10 20:00:00,TVC:USOIL,77.19,78.01,76.46,77.44,0.0
2014-11-11 20:00:00,TVC:USOIL,77.47,78.06,76.66,76.95,0.0
2014-11-12 20:00:00,TVC:USOIL,76.95,77.13,74.11,74.23,0.0
2014-11-13 20:00:00,TVC:USOIL,74.23,76.26,73.29,75.9,0.0
2014-11-16 20:00:00,TVC:USOIL,75.87,76.15,74.74,75.45,0.0
2014-11-17 20:00:00,TVC:USOIL,75.44,76.39,74.16,74.2,0.0
2014-11-18 20:00:00,TVC:USOIL,74.19,75.39,73.91,74.35,0.0
2014-11-19 20:00:00,TVC:USOIL,74.33,76.23,74.23,76.23,0.0
2014-11-20 20:00:00,TVC:USOIL,76.23,77.79,75.64,76.64,0.0
2014-11-23 20:00:00,TVC:USOIL,76.66,76.99,75.53,75.66,0.0
2014-11-24 20:00:00,TVC:USOIL,75.68,76.55,73.75,73.86,0.0
2014-11-25 20:00:00,TVC:USOIL,73.85,74.42,73.33,73.5,0.0
2014-11-26 20:00:00,TVC:USOIL,68.82,69.59,65.88,65.95,0.0
2014-11-30 20:00:00,TVC:USOIL,67.39,69.51,63.76,69.21,0.0
2014-12-01 20:00:00,TVC:USOIL,69.2,69.34,66.71,67.55,0.0
2014-12-02 20:00:00,TVC:USOIL,67.55,68.19,66.83,67.24,0.0
2014-12-03 20:00:00,TVC:USOIL,67.23,68.19,66.11,66.75,0.0
2014-12-04 20:00:00,TVC:USOIL,66.77,66.84,65.19,65.59,0.0
2014-12-07 20:00:00,TVC:USOIL,65.6,65.6,62.8,62.99,0.0
2014-12-08 20:00:00,TVC:USOIL,63.01,64.11,62.28,63.41,0.0
2014-12-09 20:00:00,TVC:USOIL,63.4,63.43,60.46,61.1,0.0
2014-12-10 20:00:00,TVC:USOIL,61.11,61.65,59.09,59.19,0.0
2014-12-11 20:00:00,TVC:USOIL,59.18,59.54,57.36,57.43,0.0
2014-12-14 20:00:00,TVC:USOIL,57.43,58.7,55.05,55.26,0.0
2014-12-15 20:00:00,TVC:USOIL,55.24,57.12,53.64,55.39,0.0
2014-12-16 20:00:00,TVC:USOIL,55.38,58.94,54.24,56.73,0.0
2014-12-17 20:00:00,TVC:USOIL,56.08,59.01,54.08,55.0,0.0
2014-12-18 20:00:00,TVC:USOIL,55.22,58.38,54.45,57.85,0.0
2014-12-21 20:00:00,TVC:USOIL,58.08,58.5,55.16,55.3,0.0
2014-12-22 20:00:00,TVC:USOIL,55.28,57.52,55.1,56.6,0.0
2014-12-23 20:00:00,TVC:USOIL,56.63,57.12,55.1,55.61,0.0
2014-12-25 20:00:00,TVC:USOIL,55.61,56.56,54.54,55.06,0.0
2014-12-28 20:00:00,TVC:USOIL,55.07,55.71,52.92,53.69,0.0
2014-12-29 20:00:00,TVC:USOIL,53.69,54.29,52.73,53.8,0.0
2014-12-30 20:00:00,TVC:USOIL,53.82,53.99,52.47,53.71,0.0
2015-01-01 20:00:00,TVC:USOIL,53.74,54.85,52.06,52.62,0.0
2015-01-04 20:00:00,TVC:USOIL,52.56,52.65,49.71,49.87,0.0
2015-01-05 20:00:00,TVC:USOIL,49.88,50.34,47.59,48.01,0.0
2015-01-06 20:00:00,TVC:USOIL,48.01,49.29,46.86,48.79,0.0
2015-01-07 20:00:00,TVC:USOIL,48.77,49.62,47.76,48.96,0.0
2015-01-08 20:00:00,TVC:USOIL,48.95,49.59,47.19,48.13,0.0
2015-01-11 20:00:00,TVC:USOIL,48.24,48.24,45.68,45.68,0.0
2015-01-12 20:00:00,TVC:USOIL,45.69,47.0,44.23,46.18,0.0
2015-01-13 20:00:00,TVC:USOIL,46.19,48.89,45.04,48.43,0.0
2015-01-14 20:00:00,TVC:USOIL,48.44,51.44,46.11,46.25,0.0
2015-01-15 20:00:00,TVC:USOIL,46.26,49.31,45.99,48.48,0.0
2015-01-18 20:00:00,TVC:USOIL,47.9,48.22,46.15,46.6,0.0
2015-01-20 20:00:00,TVC:USOIL,46.6,48.17,46.31,47.36,0.0
2015-01-21 20:00:00,TVC:USOIL,47.33,49.14,45.66,46.43,0.0
2015-01-22 20:00:00,TVC:USOIL,46.44,47.73,45.29,45.29,0.0
2015-01-25 20:00:00,TVC:USOIL,45.36,46.36,44.38,45.02,0.0
2015-01-26 20:00:00,TVC:USOIL,45.03,46.54,44.65,45.73,0.0
2015-01-27 20:00:00,TVC:USOIL,45.73,45.79,44.09,44.34,0.0
2015-01-28 20:00:00,TVC:USOIL,44.36,44.94,43.5,44.39,0.0
2015-01-29 20:00:00,TVC:USOIL,44.4,48.34,44.19,47.69,0.0
2015-02-01 20:00:00,TVC:USOIL,47.68,50.25,46.69,49.95,0.0
2015-02-02 20:00:00,TVC:USOIL,49.96,54.21,49.67,51.58,0.0
2015-02-03 20:00:00,TVC:USOIL,51.59,52.54,47.86,48.51,0.0
2015-02-04 20:00:00,TVC:USOIL,48.51,52.06,47.3,50.63,0.0
2015-02-05 20:00:00,TVC:USOIL,50.63,53.14,50.63,52.11,0.0
2015-02-08 20:00:00,TVC:USOIL,52.1,53.94,51.42,52.57,0.0
2015-02-09 20:00:00,TVC:USOIL,52.56,52.62,49.62,50.89,0.0
2015-02-10 20:00:00,TVC:USOIL,50.89,51.06,47.89,49.35,0.0
2015-02-11 20:00:00,TVC:USOIL,49.33,51.57,49.16,51.14,0.0
2015-02-12 20:00:00,TVC:USOIL,51.12,53.41,51.05,52.64,0.0
2015-02-15 20:00:00,TVC:USOIL,52.91,54.09,50.84,53.19,0.0
2015-02-17 20:00:00,TVC:USOIL,53.19,53.38,50.49,50.49,0.0
2015-02-18 20:00:00,TVC:USOIL,50.47,52.69,49.84,52.04,0.0
2015-02-19 20:00:00,TVC:USOIL,52.03,52.45,50.74,50.76,0.0
2015-02-22 20:00:00,TVC:USOIL,50.75,50.96,48.69,49.41,0.0
2015-02-23 20:00:00,TVC:USOIL,49.4,50.29,48.73,49.04,0.0
2015-02-24 20:00:00,TVC:USOIL,49.05,51.25,48.5,50.99,0.0
2015-02-25 20:00:00,TVC:USOIL,50.98,51.16,47.84,48.95,0.0
2015-02-26 20:00:00,TVC:USOIL,48.95,49.91,48.49,49.41,0.0
2015-03-01 20:00:00,TVC:USOIL,49.36,51.01,48.74,49.8,0.0
2015-03-02 20:00:00,TVC:USOIL,49.81,50.78,49.47,50.53,0.0
2015-03-03 20:00:00,TVC:USOIL,50.51,51.96,49.61,51.63,0.0
2015-03-04 20:00:00,TVC:USOIL,51.63,52.38,50.64,50.9,0.0
2015-03-05 20:00:00,TVC:USOIL,50.91,51.21,48.91,49.69,0.0
2015-03-08 19:00:00,TVC:USOIL,49.7,50.76,49.28,49.98,0.0
2015-03-09 19:00:00,TVC:USOIL,50.06,50.34,48.23,48.62,0.0
2015-03-10 19:00:00,TVC:USOIL,48.71,49.02,47.36,48.41,0.0
2015-03-11 19:00:00,TVC:USOIL,48.39,48.74,46.89,46.91,0.0
2015-03-12 19:00:00,TVC:USOIL,46.89,47.25,44.78,44.95,0.0
2015-03-15 19:00:00,TVC:USOIL,44.95,44.95,42.89,43.77,0.0
2015-03-16 19:00:00,TVC:USOIL,43.77,44.17,42.39,42.39,0.0
2015-03-17 19:00:00,TVC:USOIL,42.5,45.32,42.06,44.7,0.0
2015-03-18 19:00:00,TVC:USOIL,44.52,44.7,42.78,43.81,0.0
2015-03-19 19:00:00,TVC:USOIL,45.65,47.39,44.84,46.44,0.0
2015-03-22 19:00:00,TVC:USOIL,46.44,47.59,45.36,47.46,0.0
2015-03-23 19:00:00,TVC:USOIL,47.44,48.53,46.69,47.54,0.0
2015-03-24 19:00:00,TVC:USOIL,47.62,49.43,47.03,48.93,0.0
2015-03-25 19:00:00,TVC:USOIL,49.0,52.46,48.76,50.93,0.0
2015-03-26 19:00:00,TVC:USOIL,51.01,51.35,48.24,48.31,0.0
2015-03-29 19:00:00,TVC:USOIL,48.31,49.13,47.64,48.69,0.0
2015-03-30 19:00:00,TVC:USOIL,48.7,48.7,47.31,47.48,0.0
2015-03-31 19:00:00,TVC:USOIL,47.53,50.42,47.06,49.52,0.0
2015-04-01 19:00:00,TVC:USOIL,49.55,50.24,48.14,49.44,0.0
2015-04-05 19:00:00,TVC:USOIL,49.49,52.21,49.49,51.95,0.0
2015-04-06 19:00:00,TVC:USOIL,51.94,54.09,51.2,53.19,0.0
2015-04-07 19:00:00,TVC:USOIL,53.15,53.18,50.41,50.93,0.0
2015-04-08 19:00:00,TVC:USOIL,50.97,52.04,50.54,50.62,0.0
2015-04-09 19:00:00,TVC:USOIL,50.69,51.89,50.11,51.71,0.0
2015-04-12 19:00:00,TVC:USOIL,51.71,53.06,51.51,51.97,0.0
2015-04-13 19:00:00,TVC:USOIL,51.96,53.76,51.85,53.4,0.0
2015-04-14 19:00:00,TVC:USOIL,53.45,56.66,53.41,55.89,0.0
2015-04-15 19:00:00,TVC:USOIL,55.9,57.39,55.11,56.51,0.0
2015-04-16 19:00:00,TVC:USOIL,56.55,56.86,55.34,55.99,0.0
2015-04-19 19:00:00,TVC:USOIL,55.99,57.16,54.91,56.45,0.0
2015-04-20 19:00:00,TVC:USOIL,57.9,58.04,56.16,56.22,0.0
2015-04-21 19:00:00,TVC:USOIL,56.32,57.16,55.72,56.15,0.0
2015-04-22 19:00:00,TVC:USOIL,56.24,58.37,55.79,57.45,0.0
2015-04-23 19:00:00,TVC:USOIL,57.49,57.88,56.51,57.23,0.0
2015-04-26 19:00:00,TVC:USOIL,57.23,57.86,56.56,56.6,0.0
2015-04-27 19:00:00,TVC:USOIL,56.62,57.79,56.11,56.89,0.0
2015-04-28 19:00:00,TVC:USOIL,56.93,59.31,56.56,58.52,0.0
2015-04-29 19:00:00,TVC:USOIL,58.55,59.81,58.4,59.75,0.0
2015-04-30 19:00:00,TVC:USOIL,59.77,59.85,58.34,59.15,0.0
2015-05-03 19:00:00,TVC:USOIL,59.15,59.71,58.49,58.98,0.0
2015-05-04 19:00:00,TVC:USOIL,58.93,61.06,58.66,60.65,0.0
2015-05-05 19:00:00,TVC:USOIL,60.71,62.56,60.55,60.65,0.0
2015-05-06 19:00:00,TVC:USOIL,60.64,61.3,58.51,58.98,0.0
2015-05-07 19:00:00,TVC:USOIL,58.95,59.86,58.17,59.36,0.0
2015-05-10 19:00:00,TVC:USOIL,59.36,59.84,58.78,59.29,0.0
2015-05-11 19:00:00,TVC:USOIL,59.25,61.34,59.15,61.13,0.0
2015-05-12 19:00:00,TVC:USOIL,61.21,61.82,60.03,60.03,0.0
2015-05-13 19:00:00,TVC:USOIL,60.07,60.8,59.39,59.65,0.0
2015-05-14 19:00:00,TVC:USOIL,59.67,59.94,58.44,59.88,0.0
2015-05-17 19:00:00,TVC:USOIL,59.88,60.86,59.08,59.54,0.0
2015-05-18 19:00:00,TVC:USOIL,60.3,60.39,57.96,58.25,0.0
2015-05-19 19:00:00,TVC:USOIL,58.29,59.03,58.13,58.72,0.0
2015-05-20 19:00:00,TVC:USOIL,58.79,60.91,58.73,60.64,0.0
2015-05-21 19:00:00,TVC:USOIL,60.64,60.77,59.38,59.86,0.0
2015-05-24 19:00:00,TVC:USOIL,59.81,59.91,57.74,58.3,0.0
2015-05-26 19:00:00,TVC:USOIL,58.3,58.92,57.38,57.45,0.0
2015-05-27 19:00:00,TVC:USOIL,57.6,58.03,56.54,57.95,0.0
2015-05-28 19:00:00,TVC:USOIL,57.94,60.67,57.75,60.25,0.0
2015-05-31 19:00:00,TVC:USOIL,60.25,60.57,59.36,60.17,0.0
2015-06-01 19:00:00,TVC:USOIL,60.17,61.55,60.11,61.01,0.0
2015-06-02 19:00:00,TVC:USOIL,61.0,61.26,59.36,59.58,0.0
2015-06-03 19:00:00,TVC:USOIL,59.55,59.91,57.86,57.9,0.0
2015-06-04 19:00:00,TVC:USOIL,57.93,59.21,56.86,58.91,0.0
2015-06-07 19:00:00,TVC:USOIL,58.91,59.1,57.89,58.25,0.0
2015-06-08 19:00:00,TVC:USOIL,58.25,60.64,58.25,60.53,0.0
2015-06-09 19:00:00,TVC:USOIL,60.55,61.8,60.46,61.08,0.0
2015-06-10 19:00:00,TVC:USOIL,61.12,61.5,60.24,60.47,0.0
2015-06-11 19:00:00,TVC:USOIL,60.54,60.6,59.76,60.01,0.0
2015-06-14 19:00:00,TVC:USOIL,60.01,60.01,58.76,59.56,0.0
2015-06-15 19:00:00,TVC:USOIL,59.58,60.34,59.44,60.0,0.0
2015-06-16 19:00:00,TVC:USOIL,60.02,61.35,58.89,59.71,0.0
2015-06-17 19:00:00,TVC:USOIL,59.75,60.85,59.26,60.48,0.0
2015-06-18 19:00:00,TVC:USOIL,60.48,60.91,58.92,59.76,0.0
2015-06-21 19:00:00,TVC:USOIL,59.76,60.61,59.3,60.2,0.0
2015-06-22 19:00:00,TVC:USOIL,60.19,61.36,59.59,61.04,0.0
2015-06-23 19:00:00,TVC:USOIL,61.18,61.54,59.83,60.19,0.0
2015-06-24 19:00:00,TVC:USOIL,60.08,60.43,59.46,59.59,0.0
2015-06-25 19:00:00,TVC:USOIL,59.63,59.94,58.79,59.63,0.0
2015-06-28 19:00:00,TVC:USOIL,59.63,59.63,58.06,58.26,0.0
2015-06-29 19:00:00,TVC:USOIL,58.25,59.66,57.96,58.86,0.0
2015-06-30 19:00:00,TVC:USOIL,59.05,59.08,56.71,56.84,0.0
2015-07-01 19:00:00,TVC:USOIL,56.87,57.92,56.46,56.46,0.0
2015-07-02 19:00:00,TVC:USOIL,55.59,55.59,52.44,52.64,0.0
2015-07-06 19:00:00,TVC:USOIL,52.73,53.41,50.61,52.93,0.0
2015-07-07 19:00:00,TVC:USOIL,52.89,52.93,50.94,51.78,0.0
2015-07-08 19:00:00,TVC:USOIL,51.8,53.51,51.53,52.47,0.0
2015-07-09 19:00:00,TVC:USOIL,52.47,53.81,51.99,52.78,0.0
2015-07-12 19:00:00,TVC:USOIL,52.78,53.14,51.3,51.99,0.0
2015-07-13 19:00:00,TVC:USOIL,51.98,53.4,50.91,53.33,0.0
2015-07-14 19:00:00,TVC:USOIL,53.37,53.48,51.24,51.6,0.0
2015-07-15 19:00:00,TVC:USOIL,51.61,52.14,50.86,50.9,0.0
2015-07-16 19:00:00,TVC:USOIL,50.89,51.21,50.16,50.78,0.0
2015-07-19 19:00:00,TVC:USOIL,50.78,51.56,49.88,50.2,0.0
2015-07-20 19:00:00,TVC:USOIL,50.23,51.37,50.11,50.6,0.0
2015-07-21 19:00:00,TVC:USOIL,50.66,50.67,49.06,49.14,0.0
2015-07-22 19:00:00,TVC:USOIL,49.2,49.6,48.24,48.83,0.0
2015-07-23 19:00:00,TVC:USOIL,48.76,49.0,47.75,48.08,0.0
2015-07-26 19:00:00,TVC:USOIL,48.08,48.19,46.95,46.95,0.0
2015-07-27 19:00:00,TVC:USOIL,47.05,48.41,46.71,47.75,0.0
2015-07-28 19:00:00,TVC:USOIL,47.77,49.49,47.41,48.84,0.0
2015-07-29 19:00:00,TVC:USOIL,48.81,49.34,48.36,48.39,0.0
2015-07-30 19:00:00,TVC:USOIL,48.44,48.59,46.73,46.78,0.0
